iter	Passed	Remaining
676	5323	2540
677	5331	2531
678	5338	2523
679	5345	2515
680	5352	2507
681	5360	2499
682	5368	2491
683	5376	2483
684	5383	2475
685	5390	2467
686	5396	2458
687	5403	2450
688	5410	2442
689	5418	2434
690	5426	2426
691	5434	2418
692	5444	2412
693	5457	2406
694	5468	2399
695	5478	2392
696	5487	2385
697	5495	2377
698	5512	2373
699	5527	2369
700	5543	2364
701	5563	2361
702	5582	2358
703	5597	2353
704	5607	2346
705	5617	2339
706	5654	2343
707	5668	2337
708	5677	2330
709	5685	2322
710	5693	2314
711	5701	2306
712	5711	2298
713	5718	2290
714	5726	2282
715	5735	2274
716	5741	2266
717	5750	2258
718	5758	2250
719	5765	2242
720	5773	2234
721	5781	2225
722	5789	2218
723	5798	2210
724	5805	2202
725	5812	2193
726	5824	2187
727	5835	2180
728	5847	2173
729	5857	2166
730	5866	2158
731	5874	2150
732	5882	2142
733	5891	2135
734	5900	2127
735	5907	2119
736	5915	2110
737	5922	2102
738	5931	2094
739	5939	2086
740	5947	2078
741	5956	2071
742	5964	2063
743	5972	2055
744	5980	2047
745	5990	2039
746	5998	2031
747	6005	2023
748	6013	2015
749	6021	2007
750	6029	1999
751	6035	1990
752	6044	1982
753	6051	1974
754	6062	1967
755	6074	1960
756	6083	1952
757	6092	1945
758	6099	1936
759	6108	1929
760	6115	1920
761	6123	1912
762	6133	1905
763	6146	1898
764	6158	1891
765	6170	1885
766	6180	1877
767	6195	1871
768	6208	1864
769	6216	1856
770	6224	1848
771	6237	1842
772	6249	1835
773	6257	1827
774	6263	1818
775	6271	1810
776	6280	1802
777	6288	1794
778	6296	1786
779	6304	1778
780	6313	1770
781	6321	1762
782	6329	1754
783	6339	1746
784	6346	1738
785	6353	1729
786	6360	1721
787	6367	1713
788	6375	1705
789	6383	1696
790	6393	1689
791	6406	1682
792	6415	1674
793	6427	1667
794	6436	1659
795	6444	1651
796	6452	1643
797	6459	1635
798	6466	1626
799	6474	1618
800	6482	1610
801	6490	1602
802	6498	1594
803	6505	1585
804	6513	1577
805	6522	1569
806	6530	1561
807	6537	1553
808	6545	1545
809	6553	1537
810	6560	1528
811	6568	1520
812	6578	1513
813	6587	1505
814	6595	1497
815	6603	1488
816	6610	1480
817	6618	1472
818	6626	1464
819	6633	1456
820	6640	1447
821	6648	1439
822	6655	1431
823	6664	1423
824	6672	1415
825	6683	1407
826	6696	1400
827	6709	1393
828	6722	1386
829	6732	1378
830	6741	1370
831	6750	1363
832	6758	1354
833	6766	1346
834	6776	1338
835	6784	1330
836	6793	1322
837	6801	1314
838	6809	1306
839	6817	1298
840	6826	1290
841	6850	1285
842	6873	1280
843	6885	1272
844	6901	1266
845	6911	1258
846	6920	1250
847	6928	1241
848	6936	1233
849	6944	1225
850	6951	1217
851	6960	1209
852	6970	1201
853	6979	1193
854	6990	1185
855	7000	1177
856	7008	1169
857	7015	1161
858	7023	1152
859	7030	1144
860	7039	1136
861	7047	1128
862	7056	1120
863	7063	1111
864	7070	1103
865	7077	1095
866	7085	1086
867	7094	1078
868	7102	1070
869	7110	1062
870	7117	1054
871	7125	1045
872	7132	1037
873	7140	1029
874	7148	1021
875	7156	1012
876	7167	1005
877	7177	997
878	7188	989
879	7197	981
880	7204	973
881	7211	964
882	7218	956
883	7226	948
884	7234	940
885	7242	931
886	7250	923
887	7258	915
888	7266	907
889	7274	899
890	7282	890
891	7288	882
892	7297	874
893	7304	866
894	7312	857
895	7320	849
896	7329	841
897	7338	833
898	7352	826
899	7366	818
900	7377	810
901	7391	803
902	7398	794
903	7406	786
904	7412	778
905	7420	769
906	7428	761
907	7437	753
908	7445	745
909	7453	737
910	7461	728
911	7470	720
912	7478	712
913	7486	704
914	7493	696
915	7501	687
916	7508	679
917	7515	671
918	7523	663
919	7530	654
920	7538	646
921	7547	638
922	7554	630
923	7561	621
924	7569	613
925	7577	605
926	7584	597
927	7590	588
928	7597	580
929	7604	572
930	7611	564
931	7619	555
932	7627	547
933	7635	539
934	7643	531
935	7653	523
936	7663	515
937	7674	507
938	7684	499
939	7693	491
940	7704	483
941	7712	474
942	7720	466
943	7733	458
944	7745	450
945	7756	442
946	7765	434
947	7774	426
948	7782	418
949	7791	410
950	7801	401
951	7809	393
952	7817	385
953	7827	377
954	7836	369
955	7844	361
956	7853	352
957	7861	344
958	7869	336
959	7878	328
960	7888	320
961	7900	312
962	7911	303
963	7921	295
964	7929	287
965	7937	279
966	7945	271
967	7951	262
968	7959	254
969	7966	246
970	7974	238
971	7982	229
972	7989	221
973	7997	213
974	8004	205
975	8013	197
976	8025	188
977	8035	180
978	8045	172
979	8056	164
980	8064	156
981	8071	147
982	8078	139
983	8085	131
984	8094	123
985	8102	115
986	8109	106
987	8117	98
988	8125	90
989	8134	82
990	8143	73
991	8151	65
992	8159	57
993	8167	49
994	8176	41
995	8181	32
996	8188	24
997	8195	16
998	8202	8
999	8209	0
